question-word,answer-word,guess-word,label
enormously,tremendously,tremendously,correct
provisions,stipulations,interpretations,wrong
haphazardly,randomly,,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,decline,wrong
flawed,imperfect,,guess
urgently,desperately,desperately,correct
consumed,eaten,supplied,wrong
advent,coming,coming,correct
concisely,succinctly,powerfully,wrong
salutes,greetings,,guess
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,generosity,wrong
fanciful,imaginative,apparent,wrong
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,training,wrong
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,hardly,wrong
easygoing,relaxed,,guess
debate,argument,election,wrong
narrow,thin,freezing,wrong
arranged,planned,studied,wrong
infinite,limitless,unusual,wrong
showy,striking,striking,correct
levied,imposed,,guess
deftly,skillfully,prudently,wrong
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,,guess
unmatched,unequaled,,guess
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,hairy,wrong
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,nurse,wrong
essentially,basically,possibly,wrong
keen,sharp,simple,wrong
situated,positioned,isolated,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,mysteriously,wrong
hailed,acclaimed,addressed,wrong
command,mastery,observation,wrong
concocted,devised,supervised,wrong
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,happiness,wrong
dissipate,disperse,disguise,wrong
primarily,chiefly,,guess
colloquial,conversational,,guess
resolved,settled,settled,correct
feasible,possible,permitted,wrong
expeditiously,rapidly,rapidly,correct
percentage,proportion,profit,wrong
terminated,ended,postponed,wrong
uniform,alike,alike,correct
figure,solve,list,wrong
sufficient,enough,recent,wrong
fashion,manner,ration,wrong
marketed,sold,,guess
bigger,larger,closer,wrong
roots,origins,function,wrong
normally,ordinarily,periodically,wrong
